selection1_name,selection1_url,selection1_selection2_name
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,river card? 6 of spade.
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,who won? local with 3-8 suited heart. won by straight. 5-6-7-8-9
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,this indicates 2 things.
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,1: there are no RNG they just have data of spicy hands played in real life. they bait the player with good nuts and then steal it using basic cards.
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"2: pokerbaazi, They have their employees in every tournament and they win always the top 10 places."
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,there are zero possibility of local guy winning that hand. but he won and not just he won he won big because he knew what turn and river cards are going to be. there is no other explanation to why someone would go all in with zero chances of wining at flop. that to with the most shitest cards in hand. unless he knew there is a 5 and 6 coming behind flop.
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"I am an engineer so I ran a NNE engine and the odds of 5 and 6 coming on turn and river were 1 in 125, 667, 083."
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"was trying to provoke him. kept asking him ""what so potential you saw in 2-7-9 that you went all in, it doesn't make sense"""
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"he said ""only pro player know worth their hands"" which is BS way of saying he has some way of knwing all cards."
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"to which I replied "" or pro cheaters"""
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"I even asked in chat to local ""how long have you been working for pokerbaazi, tell me even i'll join I need a job desparately"""
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"to which he stopped playing and went sitting out, offline. he knew what he did got him caught and his senior must have asked him to stop playing for a while. he came back online when his stack went from 51K to 12K."
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,after tournament ended. I saw the listing. there he was number 7.
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,he went from 12K to 1.2Lac clip stack in just 20-25 hands. some might say it's possible. no it's not when BB-SB is 3000/1500
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,all you go win is max one hand but you will lose 4 hands or fold 4 BB. 12K is 4BB. it's impossible to go from 12k to 1.2Lac with 3K as BB unless you have some help. there was this guy name Sindhu he went all in with 5-9. he push all in of 31K stack with 5-9 off suited. because he knew nothing can beat 4 kind of 9. and that's what the flop were
TRUTH and only Truth about pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-slunuomoslp,"I confronted and he did say YES, when I asked if he works for pokerbaazi. again same he went sitting out knowing he made mistake admitting or responding chat."
Scam pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-uomqulspqlp,Full scam game scam gameplease don't play i have lost around 2 to 3 lackssssss don't play please
Pokerbaazi scam and Bot cheat frauds,https://www.mouthshut.com/review/Pokerbaazi-com-review-prutntuoplp,"I played 1 game i got queen pair then 1 king then again q queen then 2 j came so I thought mine is the biggest because the other person was giving 25 50 rs but last hand i putted all in and suddenly he also putted all in he have 2 king , this is how they are doing scam to loot your hard earned money ?????? scammers looters i wish these people die other wise if I ever met any one from these fake website i will make sure to make their life hell."
Scam Scam Scam Pokerbaazi,https://www.mouthshut.com/review/Pokerbaazi-com-review-ltqumoonplp,"Avoid playing on this app at any cost. The hands are totally unrealistic. Flush, straight flush, royal flush, four of a kind, occur regularly on the app which iare very rare in offline real poker and You often end up lossing inspite of holding flush, straights hands at the showdown. Quite often you get good cards at the start that influence you to bet more and magically you end up loosing money inspite of holding very strong cards..The apps algorithms play with your mind. Its a looting machine to loot new to mid level players. Play offline to experience real poker and avoid any poker apps at any cost"
Bots bots bots fake fake fake.,https://www.mouthshut.com/review/Pokerbaazi-com-review-rqtulrrsnlp,Mai 2 saaL SE poker khel Raha hu online Indian app pe. Pokerbazi pokeradda. MPL GAMEZY. FIRSTGAME POKER. Mai zeyada detail mei nahi btaunga. Bas Itna hai pehle aap jeetoge. Uske baad aap addicted ho jaOge. Uske baad ye app lootna shuru kregi. Fir chahe aap k pass 10k ya 10 lakh. Koi farak nahi pdhta . Aap Sara paisa invest Kroge . Kyuki AAP addicted ho chuke ho. Inke JaaL mei fas chuke ho. Mai pro player hu. Live khelta hu Goa mei. Isliye live khelo. Agar online kheloge. To mar jaOge. Haha. Ise acha match par lgaLo. Agar poker khelni h to live khelo Goa mei. Agar aap ye sochte ho ki online daily 1000 profit ho jaye. To aapka Jo job ya kaam h use bhi jaOge. Agar aapne 10 din lgatar average 1000 1000 profit krliye. Total 10k. Or ye 10k ek din mei loss Hoga. Uske baad gusse mei aap or money add Kroge. Bde table par bethoge. To Jo average Sochi thi vo to Gai. Or Jo saving thi vo bhi . Hahaha. Mai 8- 9 lakh loss kr chuka hu online 2 saal m
Pokerbaziscam,https://www.mouthshut.com/review/Pokerbaazi-com-review-opuonrspnlp,I have been on this site from past 5 year but in last two month I lost 20k in two week and they blocked my id.This another big scam site you cant trust most of the agent are sitting in every table.So avoid wasting your time and money
Big warning,https://www.mouthshut.com/review/Pokerbaazi-com-review-qtnspsltmlp,"Guys, whoever reads this please i would suggest strictly avoid not only this poker baazi but any poker site in India. I have played for 4 years and above and seen more than 200 person playing in these platforms. They will make you win sometimes to make it a habbit and in total you will lose 100% for sure. Its all a big gimmick. Few people wins with highest investment like more than lakh rupees depositors per month, that too risky. In regards to deposit, withdrawal and support they are not cheaters."
Scam,https://www.mouthshut.com/review/Pokerbaazi-com-review-mtmsrossllp,They are I think a scam....I have three failed transactions of 1000....in which money is deducted from my bank account but could not received in my poker account....when I call to customer care they told me that it will take 40 days to refund....have anyone heared this 40 days return policy in the world?? My id is buddhamcalm in this pokerbaazi app
SCAM - AVOID AT ALL COST,https://www.mouthshut.com/review/Pokerbaazi-com-review-umqutrrqpuo,SCAM - they will ensure that you lose all your money. Avoid this at all cost. In fact I have not come across any online gaming site / app that is not rigged. From poker baazi to parimatch to betway. All scam!
They have their own players to win innocents money,https://www.mouthshut.com/review/Pokerbaazi-com-review-rttpunnpouo,I am playing poker from pokerbaazi almost 3years and i won only 20000rs but i lost my valueable time. In some cash table players make all in of 10k very easy manner. To be honest in cash tables they have their own players to loot innocents money. Dont waste your time in freeroll tournament as well.
Bad game,https://www.mouthshut.com/review/Pokerbaazi-com-review-umlmpuusnuo,All Players are berojgar they playing this game very cheaply only playing all in all time all table they are not gaving a chance to win.... Players using abouse and voulger language in chat. Dont waste your time to playing this game.
"If you are net positive from the site, let's meet",https://www.mouthshut.com/review/Pokerbaazi-com-review-monntrsmuto,"Only <10% players in general end up making money from poker generally. This is the same case in pokerbaazi. Where it enters fiction zone is when you get insane bad beats, players with the ability to magically appear cards that they need to win after they have gone all-in. Day in, day out. Also, flops, turns, and rivers never match any real in-card poker draws. Try playing poker/dealing cards in real life, you would never see 4 cards of same suit, 4 cards to make a straight open so frequently."
"If you are net positive from the site, let's meet",https://www.mouthshut.com/review/Pokerbaazi-com-review-monntrsmuto,"When there are maniacs playing at the table, which they do on this site, you play tight. Fine. Then the opponent moves you all in on flop, you call with straight. The opponent turns flush with running cards(only one suited hole card). These are regular events."
"If you are net positive from the site, let's meet",https://www.mouthshut.com/review/Pokerbaazi-com-review-monntrsmuto,"The app is nice to use. Good design. It is just that the entire algo smells fishy. Sure, this might be a loser's rant. But if you are net positive from the site after 2000 hands, I would be genuinely interested to know you."
Scam,https://www.mouthshut.com/review/Pokerbaazi-com-review-uprrtstltto,This app doesn't let you win in any situation. I have seen games in which suddenly one player came and took out all the money of the table. Please don't play on this app or any other indian poker app they all are fraud I loose approx 1.5 lakh on this apps. If you want to play poker play offline but please avoid these fraud apps.
Fraud 100%,https://www.mouthshut.com/review/Pokerbaazi-com-review-qqptlunusto,This Site....don't play cash game....the site just looting machine ...they have their own player who can see your cards
"Just like the other sites in India, total scam",https://www.mouthshut.com/review/Pokerbaazi-com-review-uloqtlumsto,"Let’s you win for the first few days and then insane amount of bad beats. Same players winning all the time. The online poker industry in India should seriously be looked at and banned. All these so called pros are scamming normal people and during times such as the pandemic, online scams like these should not be allowed to run by regulatory bodies. The RNG is totally rigged and induces action. Been playing poker for a long time and have played in most parts of the world to know the game doesn’t function in this way. I sincerely request people to not put a penny in this site cus ultimately it’s gonna cost you. Frauds all of them."
Scam & scandal,https://www.mouthshut.com/review/Pokerbaazi-com-review-pnuruqorrto,"Total waste of time, it is total scam they track ur iP address and your account"
Scam & scandal,https://www.mouthshut.com/review/Pokerbaazi-com-review-pnuruqorrto,It is not a good game it is totally scam in india
Rigged poker site,https://www.mouthshut.com/review/Pokerbaazi-com-review-ssqunotorto,"It's rigged . They take commission on each game plus they have there own playera.. I have lost so many hands that are impossible . Like the two end cards of the same number for a fullhouse, another scenario is playing with two aces and the last two cards are two aces against a full house in preflop"
Cheats!!have a set of their own players who will a,https://www.mouthshut.com/review/Pokerbaazi-com-review-loosrumuqto,"You will always find a few set of players who will always end up with the best draws..flush, 3 of a kind or a full house..I have videos but I can’t post them for soe technical reasons..."
Cheats!!have a set of their own players who will a,https://www.mouthshut.com/review/Pokerbaazi-com-review-loosrumuqto,Stop cheat Poker Baazi...
